timeoftweet,Neutral,TotalTweets
2018-01-05 00:00:00+00:00,100.0,135
2018-01-06 00:00:00+00:00,100.0,1328
2018-01-07 00:00:00+00:00,100.0,445
2018-01-08 00:00:00+00:00,100.0,338
