timeoftweet,Negative,Neutral,Positive,NetPositive,TotalTweets
2017-12-18 00:00:00+00:00,9.27835051546,45.3608247423,45.3608247423,36.0824742268,97
2017-12-19 00:00:00+00:00,10.2564102564,49.2521367521,40.4914529915,30.235042735,936
2017-12-22 00:00:00+00:00,10.3603603604,38.7387387387,50.9009009009,40.5405405405,222
2017-12-30 00:00:00+00:00,9.66386554622,48.8595438175,41.4765906363,31.81272509,1666
2018-01-04 00:00:00+00:00,5.32971996387,61.6982836495,32.9719963866,27.6422764228,1107
